symbol,time,open,high,low,close,volume,issue_share,marketcap,rank_volume,rank_marketcap,total_score,atr_percentage
SAB,2025-09-04,46.5,47.2,46.35,47.1,1013000,1282562372,60408687721.200005,76,27,103,1.1252653927813157
DGC,2025-09-04,97.6,99.5,97.4,99.3,2212600,379779286,37712083099.8,64,40,104,2.3564954682779464
NAB,2025-09-04,15.9,16.3,15.9,16.3,3151700,1715686480,27965689624.0,58,47,105,2.3926380368098195
PVD,2025-09-04,22.3,22.7,22.15,22.45,8385700,556296006,12488845334.7,37,69,106,2.6726057906458798
DCM,2025-09-04,39.9,39.9,39.1,39.4,3391300,529400000,20858360000.0,54,52,106,2.715736040609138
PLX,2025-09-04,36.6,37.0,36.5,36.65,1443500,1293878081,47420631668.65,73,33,106,1.7462482946794013
VPI,2025-09-04,57.0,59.0,56.7,58.5,3769000,320049577,18722900254.5,53,55,108,3.179487179487178
GMD,2025-09-04,67.3,68.9,67.1,68.5,2471700,420192309,28783173166.5,63,45,108,3.9708029197080275
HHV,2025-09-04,15.45,15.8,15.3,15.6,15704700,497433003,7759954846.8,23,89,112,2.8846153846153846
PNJ,2025-09-04,86.8,89.4,86.3,88.4,1615100,338074776,29885810198.4,69,44,113,1.9683257918552073
DBC,2025-09-04,28.3,28.55,27.9,28.0,7831700,384866667,10776266676.0,39,75,114,2.5357142857142865
NLG,2025-09-04,44.0,44.55,43.6,43.75,3259600,385075304,16847044550.0,56,58,114,3.565714285714281
HDG,2025-09-04,33.0,33.9,32.6,32.65,4840800,369963035,12079293092.75,46,72,118,3.920367534456352
BVH,2025-09-04,58.4,60.6,58.4,60.5,568700,742322764,44910527222.0,85,34,119,3.570247933884301
REE,2025-09-04,65.2,65.8,65.0,65.4,740100,541658139,35424442290.600006,79,41,120,1.437308868501521
BCM,2025-09-04,67.5,67.9,67.4,67.7,283300,1035000000,70069500000.0,95,25,120,2.008862629246676
FTS,2025-09-04,40.35,40.4,39.85,40.05,3157500,346498009,13877245260.45,57,64,121,2.54681647940075
VGC,2025-09-04,62.0,63.5,61.7,62.5,857200,448350000,28021875000.0,78,46,124,2.751999999999998
GEE,2025-09-04,116.5,118.5,114.1,116.0,355400,365999956,42455994896.0,89,35,124,3.0172413793103496
DPM,2025-09-04,26.7,26.95,26.65,26.95,4256900,391400000,10548230000.0,49,76,125,1.8552875695732864
PC1,2025-09-04,27.75,28.5,27.55,27.7,4778100,357642121,9906686751.7,47,79,126,3.249097472924188
SBT,2025-09-04,24.55,24.6,24.4,24.55,1145500,814545038,19997080682.9,74,53,127,1.6293279022403284
CTS,2025-09-04,42.35,44.1,42.3,44.05,4030600,212693438,9369145943.9,51,81,132,3.586833144154373
DXS,2025-09-04,14.1,14.35,13.55,13.6,5116400,579103124,7875802486.4,45,88,133,5.3676470588235246
HDC,2025-09-04,37.5,39.15,37.2,37.4,5987700,178354966,6670475728.4,42,93,135,4.545454545454549
PVT,2025-09-04,18.3,18.6,18.2,18.35,3864800,469931235,8623238162.25,52,83,135,1.8528610354223503
VHC,2025-09-04,58.2,58.7,57.6,58.2,1551900,224453159,13063173853.8,71,66,137,2.1649484536082464
FRT,2025-09-04,128.1,131.0,128.0,129.8,552500,170301785,22105171693.000004,87,50,137,2.311248073959938
BSI,2025-09-04,55.0,55.2,54.1,54.9,1062700,245365943,13470590270.7,75,65,140,3.6794171220400704
DGW,2025-09-04,43.6,44.0,43.2,44.0,2595200,219320169,9650087436.0,61,80,141,2.613636363636367
DSE,2025-09-04,32.65,32.65,31.35,32.5,1560300,339900000,11046750000.0,70,74,144,5.876923076923079
