symbol,close,volume,issue_share,marketcap,weekly_avg_turnover,turnover_rank,total_score
VRE,30.3,2922000,2328818410,70563197823.0,0.002215930610064183,76,76
BMP,150.4,59300,81860938,12311885075.2,0.002215464474643572,77,166
CTG,49.6,7573900,5369991748,266351590700.8,0.001963846593233163,78,36
PPC,10.85,362300,326235000,3539649750.0,0.0017685410823486136,79,186
KOS,39.15,392800,216481335,8475244265.25,0.0017119258803536112,80,166
NAB,15.35,1973700,1715686480,26335787468.0,0.0016034980936610282,81,110
PLX,35.45,1657600,1293878081,45867977971.450005,0.0016028867251519658,82,98
SBT,24.25,1313700,814545038,19752717171.5,0.0014602753003327487,83,125
SIP,58.7,210000,242112943,14212029754.1,0.0014461845602364183,84,155
KDC,53.7,436700,289806316,15562599169.2,0.0013004547492332776,85,139
BID,40.65,4248700,7021361917,285418361926.05,0.0012951988670433894,86,47
VCB,64.9,6192300,8355675094,542283313600.6,0.0012362591752062683,87,38
GEE,103.8,424000,365999956,37990795432.8,0.0011008422088444186,88,118
SSB,19.65,2869100,2845000000,55904249999.99999,0.0010618629173989457,89,80
GVR,28.6,2423500,4000000000,114400000000.0,0.0010439549999999998,90,77
LPB,42.3,2727100,2987282100,126362032829.99998,0.00096888740437336,91,71
VHM,101.4,2851500,4107412004,416491577205.6,0.0009243436003747921,92,57
BVH,56.8,289300,742322764,42163932995.2,0.0007203335609953086,93,123
SAB,46.3,858200,1282562372,59382637823.6,0.0007082072730572825,94,102
IMP,54.9,39300,154042762,8456947633.8,0.0006668278253800721,95,182
BWE,46.7,121100,219928644,10270667674.8,0.0006588500586581164,96,171
VIC,129.2,2659700,3823661561,494017073681.2,0.0005900103772285718,97,61
GAS,62.1,1258200,2342672919,145479988269.9,0.0004607224471014599,98,83
BCM,67.9,356600,1035000000,70276500000.0,0.0004106859903381642,99,113
SJS,72.0,48700,297474828,21418187616.0,0.00023168346869335783,100,150
