symbol,time,open,high,low,close,volume,issue_share,marketcap,rank_volume,rank_marketcap,total_score,atr_percentage,rank_atr
SAB,2025-09-04,46.5,47.2,46.35,47.1,1013000,1282562372,60408687721.200005,76,27,103,1.1252653927813157,1
GAS,2025-09-04,63.9,64.2,63.8,64.2,719500,2342672919,150399601399.80002,81,11,92,1.352024922118383,2
GVR,2025-09-04,29.5,29.7,29.3,29.5,3336000,4000000000,118000000000.0,55,16,71,1.661016949152542,3
PLX,2025-09-04,36.6,37.0,36.5,36.65,1443500,1293878081,47420631668.65,73,33,106,1.7462482946794011,4
PNJ,2025-09-04,86.8,89.4,86.3,88.4,1615100,338074776,29885810198.4,69,44,113,1.9683257918552075,5
VRE,2025-09-04,30.4,30.4,29.9,30.3,4316100,2328818410,70563197823.0,48,24,72,2.145214521452145,6
DGC,2025-09-04,97.6,99.5,97.4,99.3,2212600,379779286,37712083099.8,64,40,104,2.3564954682779464,7
NAB,2025-09-04,15.9,16.3,15.9,16.3,3151700,1715686480,27965689624.0,58,47,105,2.3926380368098195,8
VCG,2025-09-04,26.3,26.65,26.15,26.4,9533400,646468336,17066764070.4,34,57,91,2.4242424242424265,9
DBC,2025-09-04,28.3,28.55,27.9,28.0,7831700,384866667,10776266676.0,39,75,114,2.5357142857142865,10
VJC,2025-09-04,142.2,142.2,139.5,140.0,2005200,541611334,75825586760.0,65,23,88,2.571428571428563,11
PVD,2025-09-04,22.3,22.7,22.15,22.45,8385700,556296006,12488845334.7,37,69,106,2.67260579064588,12
DCM,2025-09-04,39.9,39.9,39.1,39.4,3391300,529400000,20858360000.0,54,52,106,2.715736040609138,13
HHV,2025-09-04,15.45,15.8,15.3,15.6,15704700,497433003,7759954846.8,23,89,112,2.8846153846153846,14
OCB,2025-09-04,14.05,14.45,13.9,14.15,11714900,2465789152,34890916500.8,28,42,70,2.897526501766778,15
SSB,2025-09-04,21.4,21.65,21.2,21.65,2610700,2845000000,61594249999.99999,60,26,86,2.9099307159353334,16
VPI,2025-09-04,57.0,59.0,56.7,58.5,3769000,320049577,18722900254.5,53,55,108,3.179487179487178,17
EVF,2025-09-04,14.8,15.05,14.5,14.6,14267700,760565802,11104260709.2,24,73,97,3.561643835616437,18
NLG,2025-09-04,44.0,44.55,43.6,43.75,3259600,385075304,16847044550.0,56,58,114,3.565714285714281,19
HAG,2025-09-04,16.4,16.85,16.4,16.45,9678300,1057467947,17395347728.149998,33,56,89,3.586626139817629,20
VCI,2025-09-04,47.9,48.6,47.45,48.2,10813200,722600000,34829320000.0,31,43,74,3.630705394190868,21
LPB,2025-09-04,45.0,46.1,44.6,45.65,2871500,2987282100,136369427865.0,59,13,72,3.745892661555314,22
HSG,2025-09-04,19.8,20.95,19.55,20.95,28845500,620982309,13009579373.55,10,67,77,3.866348448687348,23
GMD,2025-09-04,67.3,68.9,67.1,68.5,2471700,420192309,28783173166.5,63,45,108,3.970802919708028,24
NKG,2025-09-04,17.25,18.1,17.0,18.1,38165500,447570881,8101032946.1,4,87,91,3.9779005524861946,25
KBC,2025-09-04,40.0,41.25,39.65,40.3,8054000,941754759,37952716787.7,38,39,77,4.069478908188588,26
KDH,2025-09-04,37.1,37.6,36.55,36.75,5226700,1122214899,41241397538.25,44,36,80,4.244897959183676,27
TCH,2025-09-04,22.95,24.2,22.95,24.15,24450200,668215843,16137412608.45,14,60,74,4.347826086956525,28
VSC,2025-09-04,34.3,34.3,32.35,32.8,13214700,374370362,12279347873.599998,26,71,97,5.853658536585368,29
CII,2025-09-04,24.55,24.95,23.65,23.8,23245100,624939021,14873548699.8,15,62,77,5.88235294117647,30
