symbol,close,volume,issue_share,marketcap,weekly_average_val,sd_val,cv_val,cv_val_rank,weekly_val_rank,combined_score,volume_trading_deviation_rank,total_score
KOS,39.15,392800,216481335,8475244265.25,14455910.0,1170404.7763060438,0.08096375643636712,2,95,97,48,166
HDC,34.55,3918000,178354966,6162164075.299999,227179749.0,77487136.20892796,0.34108293784992233,55,43,98,49,141
KBC,38.35,13274300,941754759,36116295007.65,576207539.0,236836786.62577775,0.4110268793719788,78,20,98,50,58
NT2,21.4,1430800,287876029,6160547020.599999,38138726.0,8750793.183325157,0.22944639480944268,18,81,99,51,163
BSI,50.1,1344000,245365943,12292833744.3,85888156.0,24233823.116102215,0.2821555875073417,34,65,99,52,139
DCM,37.5,3440400,529400000,19852500000.0,167831369.0,53312888.112568334,0.3176574702942948,47,52,99,53,103
BWE,46.7,121100,219928644,10270667674.8,6826493.0,873798.4607705601,0.1280010776793531,5,97,102,54,171
DBC,28.45,12498200,384866667,10949456676.15,238219872.0,85463980.82117853,0.358760921595905,61,41,102,55,92
KDC,53.7,436700,289806316,15562599169.2,20416962.0,4160375.1236300794,0.203770527840042,12,92,104,56,139
BID,40.65,4248700,7021361917,285418361926.05,383648528.0,154906435.87888733,0.4037717456819939,76,31,107,57,47
PC1,25.85,2737000,357642121,9245048827.85,121511222.0,39019838.93415143,0.3211212782812063,48,61,109,58,136
CTD,75.1,429300,103633261,7782857901.099999,39438196.0,10513944.134045511,0.26659292767969184,30,80,110,59,168
VGC,57.9,1426300,448350000,25959465000.0,89693756.0,29302279.827949055,0.3266925272696692,50,63,113,60,115
SAB,46.3,858200,1282562372,59382637823.6,42558275.0,12021788.334130036,0.28247828029049665,35,79,114,61,102
DPM,26.4,3508400,391400000,10332960000.0,131043513.0,46346009.469080724,0.35366885706948903,59,58,117,62,123
NLG,41.9,2573500,385075304,16134655237.6,170404852.0,63795916.8003899,0.37437852298002583,69,50,119,63,118
POW,15.2,12456900,2341871600,35596448320.0,276196713.0,115528510.52282244,0.4182834374383827,80,39,119,64,62
TCH,21.8,6978000,668215843,14567105377.4,347149160.01,170109112.74014702,0.4900173537370704,87,33,120,65,93
SCS,59.8,232000,94886982,5674241523.599999,18885569.419999998,4946691.778827156,0.2619297130426241,28,93,121,66,189
KDH,34.8,4220800,1122214899,39053078485.2,267388060.0,116979586.32369739,0.4374899399909532,82,40,122,67,78
EVF,13.3,9008300,760565802,10115525166.6,200107757.0,77957224.43807514,0.3895762243643316,75,48,123,68,104
DGW,41.75,967600,219320169,9156617055.75,100346572.0,36446613.83385184,0.36320736331532916,62,62,124,69,155
VRE,30.3,2922000,2328818410,70563197823.0,156156597.0,58615311.712168224,0.37536237878037404,70,54,124,70,76
CTS,39.45,2242000,212693438,8390756129.1,157598638.0,60268610.58238791,0.3824183466762442,74,53,127,71,147
OCB,13.15,4798100,2465789152,32425127348.8,139456108.0,52609766.61031968,0.3772496405128392,72,56,128,72,83
FRT,128.2,398900,170301785,21832688837.0,78147266.0,28462427.417382736,0.3642152678429305,63,67,130,73,134
NAB,15.35,1973700,1715686480,26335787468.0,43467391.0,14739119.156316806,0.3390845140974025,53,78,131,74,110
PAN,32.0,695500,216294580,6921426560.0,36970950.46,12387528.888262363,0.33506114217065663,51,82,133,75,169
VHC,58.3,1172800,224453159,13085619169.7,81913950.0,30558254.87230087,0.373053123091987,67,66,133,76,139
PVD,22.15,4467400,556296006,12321956532.9,207840870.0,109272631.46125525,0.5257514148264258,90,45,135,77,108
HAG,15.4,9681200,1057467947,16285006383.8,227108272.0,120031862.95346574,0.5285226376671377,91,44,135,78,83
VTP,99.4,240900,121783042,12105234374.8,45786338.0,16899206.444958296,0.36908840460135284,65,76,141,79,161
PLX,35.45,1657600,1293878081,45867977971.450005,74839457.0,28345625.580079723,0.37875242173496426,73,69,142,80,98
BVH,56.8,289300,742322764,42163932995.2,31181856.0,11435309.639070995,0.36672960195412985,64,85,149,81,123
PTB,51.4,209600,66938403,3440633914.2,12609880.0,4277026.368003826,0.3391805765006349,54,96,150,82,194
CMG,39.95,347400,211339607,8443017299.650001,33794720.0,12540243.002533883,0.37107107271591194,66,84,150,83,172
GVR,28.6,2423500,4000000000,114400000000.0,122460256.0,65068525.38472868,0.5313440254830815,92,60,152,84,77
ANV,28.1,3303000,266667500,7493356750.0,145830743.0,118798239.40491772,0.8146309684845926,99,55,154,85,141
GEE,103.8,424000,365999956,37990795432.8,44046621.1,18246486.973998476,0.4142539545218027,79,77,156,86,118
SZC,34.25,1909600,179985863,6164515807.75,70251668.59,31334449.569089066,0.44603139253477286,84,72,156,87,159
DSE,29.3,1224700,339900000,9959070000.0,50819435.0,25318666.805380967,0.4982083489393569,89,75,164,88,151
REE,66.1,630300,541658139,35803602987.899994,87401828.0,71296659.12940641,0.8157341872690169,100,64,164,89,118
PNJ,85.7,432300,338074776,28973008303.2,70877202.0,41363484.27430069,0.5835936395217842,94,71,165,90,124
PHR,55.4,374000,135499198,7506655569.2,20918003.06,8517027.961695408,0.40716257365799474,77,91,168,91,175
BCM,67.9,356600,1035000000,70276500000.0,28749892.0,12714271.662744587,0.44223719736910966,83,87,170,92,113
CTR,87.9,195900,114385879,10054518764.1,36028634.0,17821993.549476445,0.4946619277732385,88,83,171,93,172
BMP,150.4,59300,81860938,12311885075.2,27499060.0,12956097.878728764,0.47114693661269746,86,88,174,94,166
PPC,10.85,362300,326235000,3539649750.0,6301722.0,2709574.413719339,0.42997365064966986,81,98,179,95,186
SIP,58.7,210000,242112943,14212029754.1,21099968.0,11558703.360192267,0.5478066772514664,93,90,183,96,155
TLG,53.7,100900,86453575,4642556977.5,23724758.0,17279219.295945346,0.7283201496068094,97,89,186,97,195
HT1,17.2,424400,381589911,6563346469.2,15948794.0,10196466.182196654,0.6393252168280971,95,94,189,98,175
IMP,54.9,39300,154042762,8456947633.8,5643794.0,4023508.818646978,0.7129085183915249,96,99,195,99,182
SJS,72.0,48700,297474828,21418187616.0,4877140.0,3684040.0904441853,0.7553689437752833,98,100,198,100,150
