symbol,time,open,high,low,close,volume,issue_share,marketcap,rank_volume,rank_marketcap,total_score,atr_percentage,rank_atr
KOS,2025-09-04,38.8,39.0,38.8,38.9,384500,216481335,8421123931.5,88,85,173,0.7969151670951142,1
KDC,2025-09-04,53.8,54.7,53.5,54.7,283800,289806316,15852405485.2,94,61,155,1.3162705667276056,2
REE,2025-09-04,65.2,65.8,65.0,65.4,740100,541658139,35424442290.600006,79,41,120,1.437308868501521,3
BWE,2025-09-04,47.4,47.5,47.2,47.2,139100,219928644,10380631996.8,98,78,176,1.4406779661016942,4
PPC,2025-09-04,10.95,11.1,10.95,11.05,656900,326235000,3604896750.0,84,99,183,1.4479638009049751,5
SCS,2025-09-04,60.7,61.1,60.5,60.7,269700,94886982,5759639807.400001,96,97,193,1.4629324546952265,6
PTB,2025-09-04,50.9,51.4,50.5,51.0,284600,66938403,3413858553.0,93,100,193,1.5294117647058818,7
CTD,2025-09-04,78.1,78.7,77.9,78.3,352500,103633261,8114484336.299999,90,86,176,1.5581098339719053,8
SBT,2025-09-04,24.55,24.6,24.4,24.55,1145500,814545038,19997080682.9,74,53,127,1.6293279022403284,9
PHR,2025-09-04,56.0,56.9,56.0,56.5,329600,135499198,7655704687.0,91,90,181,1.6637168141592933,10
PVT,2025-09-04,18.3,18.6,18.2,18.35,3864800,469931235,8623238162.25,52,83,135,1.8528610354223505,11
DPM,2025-09-04,26.7,26.95,26.65,26.95,4256900,391400000,10548230000.0,49,76,125,1.8552875695732864,12
SZC,2025-09-04,35.1,35.6,34.85,34.85,1895200,179985863,6272507325.55,67,96,163,1.9110473457675825,13
BCM,2025-09-04,67.5,67.9,67.4,67.7,283300,1035000000,70069500000.0,95,25,120,2.008862629246676,14
SIP,2025-09-04,60.0,61.4,60.0,60.8,302300,242112943,14720466934.4,92,63,155,2.13815789473684,15
VHC,2025-09-04,58.2,58.7,57.6,58.2,1551900,224453159,13063173853.8,71,66,137,2.1649484536082464,16
FRT,2025-09-04,128.1,131.0,128.0,129.8,552500,170301785,22105171693.000004,87,50,137,2.311248073959938,17
CTR,2025-09-04,89.2,92.2,89.2,91.8,671800,114385879,10500623692.2,82,77,159,2.4400871459695,18
FTS,2025-09-04,40.35,40.4,39.85,40.05,3157500,346498009,13877245260.45,57,64,121,2.54681647940075,19
CMG,2025-09-04,42.0,42.25,41.55,41.85,723800,211339607,8844562552.95,80,82,162,2.604540023894864,20
DGW,2025-09-04,43.6,44.0,43.2,44.0,2595200,219320169,9650087436.0,61,80,141,2.613636363636367,21
TLG,2025-09-04,54.5,57.1,53.8,56.9,903300,86453575,4919208417.5,77,98,175,2.70650263620387,22
VGC,2025-09-04,62.0,63.5,61.7,62.5,857200,448350000,28021875000.0,78,46,124,2.751999999999998,23
BMP,2025-09-04,152.8,155.0,150.7,152.0,189900,81860938,12442862576.0,97,70,167,3.0000000000000018,24
GEE,2025-09-04,116.5,118.5,114.1,116.0,355400,365999956,42455994896.0,89,35,124,3.0172413793103496,25
PC1,2025-09-04,27.75,28.5,27.55,27.7,4778100,357642121,9906686751.7,47,79,126,3.249097472924188,26
IMP,2025-09-04,54.1,55.0,53.1,54.7,103500,154042762,8426139081.400001,99,84,183,3.4369287020109685,27
VTP,2025-09-04,102.1,108.0,102.1,105.2,666000,121783042,12811576018.4,83,68,151,3.4600760456273743,28
BVH,2025-09-04,58.4,60.6,58.4,60.5,568700,742322764,44910527222.0,85,34,119,3.570247933884301,29
CTS,2025-09-04,42.35,44.1,42.3,44.05,4030600,212693438,9369145943.9,51,81,132,3.586833144154373,30
NT2,2025-09-04,23.0,23.5,22.6,22.65,1713000,287876029,6520392056.849999,68,95,163,3.6644591611479016,31
BSI,2025-09-04,55.0,55.2,54.1,54.9,1062700,245365943,13470590270.7,75,65,140,3.6794171220400704,32
HT1,2025-09-04,17.65,17.75,17.35,17.45,562800,381589911,6658743946.95,86,94,180,3.83954154727793,33
PAN,2025-09-04,34.15,34.3,33.4,33.4,1549300,216294580,7224238972.0,72,92,164,3.874251497005988,34
HDG,2025-09-04,33.0,33.9,32.6,32.65,4840800,369963035,12079293092.75,46,72,118,3.920367534456352,35
SJS,2025-09-04,65.6,67.0,65.3,66.3,38400,297474828,19722581096.4,100,54,154,4.072398190045251,36
ANV,2025-09-04,27.4,28.0,27.0,27.55,2486600,266667500,7346689625.0,62,91,153,4.5009074410163326,37
HDC,2025-09-04,37.5,39.15,37.2,37.4,5987700,178354966,6670475728.4,42,93,135,4.545454545454549,38
DXS,2025-09-04,14.1,14.35,13.55,13.6,5116400,579103124,7875802486.4,45,88,133,5.3676470588235246,39
DSE,2025-09-04,32.65,32.65,31.35,32.5,1560300,339900000,11046750000.0,70,74,144,5.876923076923079,40
