symbol,time,open,high,low,close,volume,issue_share,marketcap,rank_volume,rank_marketcap,total_score,mean_ILLIQ_t,rank_amihud
SZC,2025-09-09,34.45,34.7,33.95,34.25,1909600,179985863,6164515807.75,65,94,159,1.7344719111657513e-10,65
VTP,2025-09-09,99.3,100.4,99.2,99.4,240900,121783042,12105234374.8,91,70,161,4.779426088769151e-10,85
NT2,2025-09-09,21.4,21.55,21.1,21.4,1430800,287876029,6160547020.599999,67,96,163,4.781709193533879e-10,86
KOS,2025-09-09,39.1,39.3,39.1,39.15,392800,216481335,8475244265.25,85,81,166,1.432114468154944e-10,60
BMP,2025-09-09,151.4,153.9,150.3,150.4,59300,81860938,12311885075.2,98,68,166,7.969174415391008e-10,93
CTD,2025-09-09,75.0,75.9,74.2,75.1,429300,103633261,7782857901.099999,81,87,168,2.726023215644314e-10,75
PAN,2025-09-09,31.1,32.0,30.95,32.0,695500,216294580,6921426560.0,77,92,169,9.891418354139362e-10,97
BWE,2025-09-09,47.1,47.2,46.7,46.7,121100,219928644,10270667674.8,96,75,171,5.366354452315026e-10,88
CMG,2025-09-09,39.75,40.65,39.75,39.95,347400,211339607,8443017299.650001,89,83,172,5.427861497608935e-10,89
CTR,2025-09-09,87.5,88.4,87.0,87.9,195900,114385879,10054518764.1,95,77,172,3.943262037590529e-10,79
HT1,2025-09-09,17.4,17.4,17.1,17.2,424400,381589911,6563346469.2,82,93,175,6.791116805577593e-10,92
PHR,2025-09-09,55.8,56.3,55.1,55.4,374000,135499198,7506655569.2,86,89,175,4.702281761807709e-10,84
IMP,2025-09-09,55.9,55.9,54.4,54.9,39300,154042762,8456947633.8,100,82,182,3.677374703208912e-09,99
PPC,2025-09-09,10.85,10.9,10.8,10.85,362300,326235000,3539649750.0,87,99,186,8.289739432943551e-10,94
SCS,2025-09-09,60.0,60.0,59.6,59.8,232000,94886982,5674241523.599999,92,97,189,2.943828105299859e-10,76
PTB,2025-09-09,52.3,52.3,51.0,51.4,209600,66938403,3440633914.2,94,100,194,8.445457876138042e-10,95
TLG,2025-09-09,53.9,53.9,53.0,53.7,100900,86453575,4642556977.5,97,98,195,1.5880737962229335e-09,98
