symbol,time,open,high,low,close,volume,issue_share,marketcap,rank_volume,rank_marketcap,total_score
FTS,2025-09-09,37.5,37.8,37.1,37.8,2746000,346498009,13097624740.199999,56,64,120
DPM,2025-09-09,26.7,26.7,26.05,26.4,3508400,391400000,10332960000.0,49,74,123
BVH,2025-09-09,56.6,57.1,56.0,56.8,289300,742322764,42163932995.2,90,33,123
PNJ,2025-09-09,85.6,85.8,84.5,85.7,432300,338074776,28973008303.2,80,44,124
SBT,2025-09-09,24.25,24.3,24.1,24.25,1313700,814545038,19752717171.5,71,54,125
DXS,2025-09-09,12.65,13.25,12.5,13.2,4319300,579103124,7644161236.799999,42,88,130
PVT,2025-09-09,17.9,18.0,17.65,17.8,3994400,469931235,8364775983.0,45,85,130
FRT,2025-09-09,130.0,130.0,127.6,128.2,398900,170301785,21832688836.999996,84,50,134
PC1,2025-09-09,25.95,26.1,25.6,25.85,2737000,357642121,9245048827.85,57,79,136
BSI,2025-09-09,48.55,50.4,48.05,50.1,1344000,245365943,12292833744.300001,70,69,139
VHC,2025-09-09,58.4,58.4,57.1,58.3,1172800,224453159,13085619169.699999,74,65,139
KDC,2025-09-09,54.3,54.3,53.7,53.7,436700,289806316,15562599169.2,79,60,139
HDC,2025-09-09,33.7,34.7,33.3,34.55,3918000,178354966,6162164075.299999,46,95,141
ANV,2025-09-09,27.8,29.0,27.4,28.1,3303000,266667500,7493356750.0,51,90,141
CTS,2025-09-09,38.8,39.45,38.2,39.45,2242000,212693438,8390756129.1,63,84,147
SJS,2025-09-09,73.7,73.7,69.8,72.0,48700,297474828,21418187616.0,99,51,150
DSE,2025-09-09,29.5,29.65,28.0,29.3,1224700,339900000,9959070000.0,73,78,151
DGW,2025-09-09,41.4,41.9,41.1,41.75,967600,219320169,9156617055.75,75,80,155
SIP,2025-09-09,59.5,60.1,58.6,58.7,210000,242112943,14212029754.1,93,62,155
SZC,2025-09-09,34.45,34.7,33.95,34.25,1909600,179985863,6164515807.75,65,94,159
VTP,2025-09-09,99.3,100.4,99.2,99.4,240900,121783042,12105234374.800001,91,70,161
NT2,2025-09-09,21.4,21.55,21.1,21.4,1430800,287876029,6160547020.599999,67,96,163
KOS,2025-09-09,39.1,39.3,39.1,39.15,392800,216481335,8475244265.25,85,81,166
BMP,2025-09-09,151.4,153.9,150.3,150.4,59300,81860938,12311885075.2,98,68,166
CTD,2025-09-09,75.0,75.9,74.2,75.1,429300,103633261,7782857901.099999,81,87,168
PAN,2025-09-09,31.1,32.0,30.95,32.0,695500,216294580,6921426560.0,77,92,169
BWE,2025-09-09,47.1,47.2,46.7,46.7,121100,219928644,10270667674.800001,96,75,171
CMG,2025-09-09,39.75,40.65,39.75,39.95,347400,211339607,8443017299.650001,89,83,172
CTR,2025-09-09,87.5,88.4,87.0,87.9,195900,114385879,10054518764.1,95,77,172
HT1,2025-09-09,17.4,17.4,17.1,17.2,424400,381589911,6563346469.2,82,93,175
PHR,2025-09-09,55.8,56.3,55.1,55.4,374000,135499198,7506655569.2,86,89,175
IMP,2025-09-09,55.9,55.9,54.4,54.9,39300,154042762,8456947633.8,100,82,182
PPC,2025-09-09,10.85,10.9,10.8,10.85,362300,326235000,3539649750.0,87,99,186
SCS,2025-09-09,60.0,60.0,59.6,59.8,232000,94886982,5674241523.599999,92,97,189
PTB,2025-09-09,52.3,52.3,51.0,51.4,209600,66938403,3440633914.2,94,100,194
TLG,2025-09-09,53.9,53.9,53.0,53.7,100900,86453575,4642556977.5,97,98,195
